state,state_name,year,total,individual,family,yparent,ypchild,non_ypfam,sh_ind,uns_ind,sh_fam,uns_fam,sh_yparent,uns_yparent,sh_ypchild,uns_ypchild,sh_non_ypfam,uns_non_ypfam
IL,Illinois ,2016,11590.0,6986.0,4604.0,340.0,467.0,3797.0,5226.0,1760.0,4510.0,94.0,336.0,4.0,461.0,6.0,3713.0,84.0
IN,Indiana ,2016,5798.0,3824.0,1974.0,88.0,147.0,1739.0,3158.0,666.0,1949.0,25.0,87.0,1.0,144.0,3.0,1718.0,21.0
KS,Kansas ,2016,2255.0,1228.0,1027.0,17.0,23.0,987.0,956.0,272.0,1017.0,10.0,16.0,1.0,22.0,1.0,979.0,8.0
KY,Kentucky ,2016,4237.0,2949.0,1288.0,73.0,109.0,1106.0,2400.0,549.0,1131.0,157.0,69.0,4.0,104.0,5.0,958.0,148.0
LA,Louisiana ,2016,3994.0,3176.0,818.0,47.0,85.0,686.0,2069.0,1107.0,784.0,34.0,44.0,3.0,82.0,3.0,658.0,28.0
MA,Massachusetts ,2016,19608.0,6434.0,13174.0,554.0,699.0,11921.0,5690.0,744.0,13158.0,16.0,554.0,0.0,699.0,0.0,11905.0,16.0
MD,Maryland ,2016,7689.0,4983.0,2706.0,148.0,225.0,2333.0,3751.0,1232.0,2410.0,296.0,141.0,7.0,216.0,9.0,2053.0,280.0
ME,Maine ,2016,2241.0,1321.0,920.0,34.0,38.0,848.0,1215.0,106.0,906.0,14.0,32.0,2.0,37.0,1.0,837.0,11.0
MI,Michigan ,2016,9316.0,5803.0,3513.0,251.0,381.0,2881.0,4973.0,830.0,3383.0,130.0,248.0,3.0,376.0,5.0,2759.0,122.0
MN,Minnesota ,2016,7341.0,3669.0,3672.0,254.0,377.0,3041.0,2902.0,767.0,3550.0,122.0,251.0,3.0,374.0,3.0,2925.0,116.0
MO,Missouri ,2016,6194.0,3810.0,2384.0,138.0,204.0,2042.0,2830.0,980.0,2148.0,236.0,130.0,8.0,199.0,5.0,1819.0,223.0
MS,Mississippi ,2016,1738.0,1299.0,439.0,14.0,23.0,402.0,556.0,743.0,333.0,106.0,5.0,9.0,7.0,16.0,321.0,81.0
MT,Montana ,2016,1418.0,844.0,574.0,22.0,22.0,530.0,443.0,401.0,345.0,229.0,16.0,6.0,18.0,4.0,311.0,219.0
NC,North Carolina ,2016,9559.0,6396.0,3163.0,135.0,200.0,2828.0,4682.0,1714.0,2568.0,595.0,120.0,15.0,185.0,15.0,2263.0,565.0
ND,North Dakota ,2016,923.0,662.0,261.0,13.0,18.0,230.0,509.0,153.0,198.0,63.0,9.0,4.0,10.0,8.0,179.0,51.0
NE,Nebraska ,2016,2754.0,1880.0,874.0,34.0,44.0,796.0,1779.0,101.0,874.0,0.0,34.0,0.0,44.0,0.0,796.0,0.0
NH,New Hampshire ,2016,1366.0,827.0,539.0,32.0,61.0,446.0,695.0,132.0,528.0,11.0,31.0,1.0,59.0,2.0,438.0,8.0
NJ,New Jersey ,2016,8895.0,5540.0,3355.0,269.0,337.0,2749.0,4187.0,1353.0,3274.0,81.0,266.0,3.0,333.0,4.0,2675.0,74.0
NM,New Mexico ,2016,2263.0,1556.0,707.0,14.0,23.0,670.0,1127.0,429.0,682.0,25.0,14.0,0.0,23.0,0.0,645.0,25.0
NV,Nevada ,2016,7398.0,6853.0,545.0,34.0,42.0,469.0,2937.0,3916.0,534.0,11.0,29.0,5.0,37.0,5.0,468.0,1.0
NY,New York ,2016,86352.0,35315.0,51037.0,2724.0,3311.0,45002.0,31793.0,3522.0,50968.0,69.0,2718.0,6.0,3304.0,7.0,44946.0,56.0
OH,Ohio ,2016,10404.0,6946.0,3458.0,225.0,340.0,2893.0,5890.0,1056.0,3376.0,82.0,219.0,6.0,332.0,8.0,2825.0,68.0
OK,Oklahoma ,2016,4107.0,2997.0,1110.0,50.0,70.0,990.0,2120.0,877.0,967.0,143.0,41.0,9.0,60.0,10.0,866.0,124.0
OR,Oregon ,2016,13238.0,9379.0,3859.0,133.0,169.0,3557.0,3658.0,5721.0,1578.0,2281.0,92.0,41.0,119.0,50.0,1367.0,2190.0
PA,Pennsylvania ,2016,15339.0,8599.0,6740.0,549.0,779.0,5412.0,7080.0,1519.0,6584.0,156.0,542.0,7.0,771.0,8.0,5271.0,141.0
RI,Rhode Island ,2016,1160.0,859.0,301.0,21.0,31.0,249.0,822.0,37.0,301.0,0.0,21.0,0.0,31.0,0.0,249.0,0.0
SC,South Carolina ,2016,5051.0,3758.0,1293.0,48.0,76.0,1169.0,2340.0,1418.0,1021.0,272.0,44.0,4.0,72.0,4.0,905.0,264.0
SD,South Dakota ,2016,1072.0,548.0,524.0,19.0,25.0,480.0,446.0,102.0,441.0,83.0,16.0,3.0,21.0,4.0,404.0,76.0
TN,Tennessee ,2016,8779.0,6652.0,2127.0,107.0,147.0,1873.0,4202.0,2450.0,1571.0,556.0,74.0,33.0,108.0,39.0,1389.0,484.0
TX,Texas ,2016,23122.0,15959.0,7163.0,309.0,465.0,6389.0,9315.0,6644.0,6899.0,264.0,303.0,6.0,452.0,13.0,6144.0,245.0
UT,Utah ,2016,2807.0,1828.0,979.0,17.0,30.0,932.0,1612.0,216.0,959.0,20.0,17.0,0.0,30.0,0.0,912.0,20.0
VA,Virginia ,2016,6268.0,3959.0,2309.0,102.0,146.0,2061.0,3245.0,714.0,2257.0,52.0,98.0,4.0,142.0,4.0,2017.0,44.0
VT,Vermont ,2016,1117.0,655.0,462.0,46.0,49.0,367.0,516.0,139.0,445.0,17.0,43.0,3.0,46.0,3.0,356.0,11.0
WA,Washington ,2016,20827.0,13900.0,6927.0,295.0,455.0,6177.0,6389.0,7511.0,5972.0,955.0,279.0,16.0,434.0,21.0,5259.0,918.0
WI,Wisconsin ,2016,5685.0,2886.0,2799.0,188.0,267.0,2344.0,2495.0,391.0,2780.0,19.0,188.0,0.0,267.0,0.0,2325.0,19.0
WV,West Virginia ,2016,1387.0,1039.0,348.0,19.0,35.0,294.0,904.0,135.0,348.0,0.0,19.0,0.0,35.0,0.0,294.0,0.0
WY,Wyoming ,2016,857.0,517.0,340.0,15.0,17.0,308.0,277.0,240.0,214.0,126.0,12.0,3.0,14.0,3.0,188.0,120.0
AK,Alaska ,2015,1956.0,1342.0,614.0,18.0,21.0,575.0,1084.0,258.0,555.0,59.0,18.0,0.0,21.0,0.0,516.0,59.0
AL,Alabama,2015,3970.0,2868.0,1102.0,25.0,35.0,1042.0,2076.0,792.0,867.0,235.0,21.0,4.0,29.0,6.0,817.0,225.0
AR,Arkansas ,2015,2560.0,1833.0,727.0,22.0,20.0,685.0,1089.0,744.0,589.0,138.0,22.0,0.0,20.0,0.0,547.0,138.0
AZ,Arizona ,2015,9896.0,6548.0,3348.0,166.0,194.0,2988.0,3824.0,2724.0,3115.0,233.0,156.0,10.0,185.0,9.0,2774.0,214.0
CA,California ,2015,115738.0,93156.0,22582.0,854.0,1160.0,20568.0,24843.0,68313.0,17196.0,5386.0,770.0,84.0,1039.0,121.0,15387.0,5181.0
CO,Colorado ,2015,9953.0,5729.0,4224.0,171.0,226.0,3827.0,3739.0,1990.0,3395.0,829.0,146.0,25.0,197.0,29.0,3052.0,775.0
CT,Connecticut ,2015,4047.0,2719.0,1328.0,43.0,65.0,1220.0,2124.0,595.0,1297.0,31.0,41.0,2.0,63.0,2.0,1193.0,27.0
DC,Washington DC,2015,7298.0,3821.0,3477.0,366.0,544.0,2567.0,3277.0,544.0,3477.0,0.0,366.0,0.0,544.0,0.0,2567.0,0.0
DE,Delaware ,2015,953.0,602.0,351.0,21.0,41.0,289.0,565.0,37.0,351.0,0.0,21.0,0.0,41.0,0.0,289.0,0.0
FL,Florida ,2015,35900.0,26325.0,9575.0,315.0,449.0,8811.0,12033.0,14292.0,6850.0,2725.0,278.0,37.0,397.0,52.0,6175.0,2636.0
GA,Georgia ,2015,13790.0,9702.0,4088.0,51.0,98.0,3939.0,4783.0,4919.0,3204.0,884.0,45.0,6.0,79.0,19.0,3080.0,859.0
HI,Hawaii ,2015,7620.0,4307.0,3313.0,95.0,93.0,3125.0,1243.0,3064.0,2534.0,779.0,70.0,25.0,71.0,22.0,2393.0,732.0
IA,Iowa ,2015,3081.0,1501.0,1580.0,124.0,139.0,1317.0,1302.0,199.0,1576.0,4.0,124.0,0.0,139.0,0.0,1313.0,4.0
ID,Idaho ,2015,1966.0,1172.0,794.0,22.0,31.0,741.0,832.0,340.0,665.0,129.0,19.0,3.0,29.0,2.0,617.0,124.0
IL,Illinois ,2015,13177.0,8152.0,5025.0,351.0,522.0,4152.0,5599.0,2553.0,4864.0,161.0,345.0,6.0,514.0,8.0,4005.0,147.0
IN,Indiana ,2015,5863.0,3914.0,1949.0,103.0,149.0,1697.0,3353.0,561.0,1927.0,22.0,102.0,1.0,147.0,2.0,1678.0,19.0
KS,Kansas ,2015,2588.0,1466.0,1122.0,28.0,31.0,1063.0,1191.0,275.0,1092.0,30.0,27.0,1.0,30.0,1.0,1035.0,28.0
KY,Kentucky ,2015,4538.0,3151.0,1387.0,75.0,99.0,1213.0,2622.0,529.0,1174.0,213.0,64.0,11.0,90.0,9.0,1020.0,193.0
LA,Louisiana ,2015,4081.0,3217.0,864.0,61.0,105.0,698.0,2053.0,1164.0,837.0,27.0,61.0,0.0,105.0,0.0,671.0,27.0
MA,Massachusetts ,2015,21135.0,6378.0,14757.0,839.0,1070.0,12848.0,5814.0,564.0,14728.0,29.0,839.0,0.0,1070.0,0.0,12819.0,29.0
MD,Maryland ,2015,8390.0,5383.0,3007.0,138.0,217.0,2652.0,3987.0,1396.0,2607.0,400.0,126.0,12.0,204.0,13.0,2277.0,375.0
ME,Maine ,2015,2372.0,1219.0,1153.0,56.0,67.0,1030.0,1170.0,49.0,1143.0,10.0,55.0,1.0,65.0,2.0,1023.0,7.0
MI,Michigan ,2015,10516.0,6546.0,3970.0,262.0,400.0,3308.0,5553.0,993.0,3891.0,79.0,260.0,2.0,396.0,4.0,3235.0,73.0
MN,Minnesota ,2015,7546.0,3622.0,3924.0,276.0,373.0,3275.0,2987.0,635.0,3718.0,206.0,260.0,16.0,352.0,21.0,3106.0,169.0
MO,Missouri ,2015,6482.0,3434.0,3048.0,109.0,173.0,2766.0,2640.0,794.0,2771.0,277.0,104.0,5.0,165.0,8.0,2502.0,264.0
MS,Mississippi ,2015,1983.0,1475.0,508.0,9.0,21.0,478.0,693.0,782.0,448.0,60.0,7.0,2.0,13.0,8.0,428.0,50.0
MT,Montana ,2015,1709.0,1127.0,582.0,41.0,55.0,486.0,478.0,649.0,359.0,223.0,26.0,15.0,31.0,24.0,302.0,184.0
NC,North Carolina ,2015,10685.0,7156.0,3529.0,115.0,159.0,3255.0,5372.0,1784.0,2888.0,641.0,90.0,25.0,130.0,29.0,2668.0,587.0
ND,North Dakota ,2015,1305.0,864.0,441.0,11.0,17.0,413.0,591.0,273.0,228.0,213.0,11.0,0.0,17.0,0.0,200.0,213.0
NE,Nebraska ,2015,2744.0,1720.0,1024.0,47.0,69.0,908.0,1597.0,123.0,1024.0,0.0,47.0,0.0,69.0,0.0,908.0,0.0
NH,New Hampshire ,2015,1445.0,778.0,667.0,35.0,40.0,592.0,666.0,112.0,647.0,20.0,35.0,0.0,40.0,0.0,572.0,20.0
NJ,New Jersey ,2015,10098.0,6189.0,3909.0,369.0,492.0,3048.0,5293.0,896.0,3831.0,78.0,367.0,2.0,487.0,5.0,2977.0,71.0
NM,New Mexico ,2015,2629.0,1666.0,963.0,33.0,52.0,878.0,1237.0,429.0,938.0,25.0,33.0,0.0,52.0,0.0,853.0,25.0
NV,Nevada ,2015,8743.0,7858.0,885.0,48.0,74.0,763.0,3646.0,4212.0,882.0,3.0,48.0,0.0,74.0,0.0,760.0,3.0
NY,New York ,2015,88250.0,36135.0,52115.0,2470.0,3013.0,46632.0,32172.0,3963.0,52056.0,59.0,2463.0,7.0,3006.0,7.0,46587.0,45.0
OH,Ohio ,2015,11182.0,7565.0,3617.0,237.0,355.0,3025.0,6590.0,975.0,3493.0,124.0,236.0,1.0,352.0,3.0,2905.0,120.0
OK,Oklahoma ,2015,3777.0,2781.0,996.0,50.0,92.0,854.0,2111.0,670.0,888.0,108.0,48.0,2.0,91.0,1.0,749.0,105.0
OR,Oregon ,2015,13226.0,9461.0,3765.0,135.0,155.0,3475.0,4048.0,5413.0,1783.0,1982.0,88.0,47.0,101.0,54.0,1594.0,1881.0
PA,Pennsylvania ,2015,15421.0,8605.0,6816.0,573.0,792.0,5451.0,7276.0,1329.0,6717.0,99.0,573.0,0.0,792.0,0.0,5352.0,99.0
RI,Rhode Island ,2015,1111.0,706.0,405.0,35.0,44.0,326.0,673.0,33.0,402.0,3.0,35.0,0.0,44.0,0.0,323.0,3.0
SC,South Carolina ,2015,5354.0,3934.0,1420.0,63.0,95.0,1262.0,2465.0,1469.0,993.0,427.0,59.0,4.0,87.0,8.0,847.0,415.0
SD,South Dakota ,2015,1036.0,630.0,406.0,29.0,36.0,341.0,506.0,124.0,394.0,12.0,29.0,0.0,36.0,0.0,329.0,12.0
TN,Tennessee ,2015,9123.0,6516.0,2607.0,65.0,94.0,2448.0,4075.0,2441.0,1804.0,803.0,36.0,29.0,49.0,45.0,1719.0,729.0
TX,Texas ,2015,23678.0,16265.0,7413.0,161.0,252.0,7000.0,9234.0,7031.0,6958.0,455.0,158.0,3.0,244.0,8.0,6556.0,444.0
UT,Utah ,2015,3025.0,1809.0,1216.0,34.0,40.0,1142.0,1605.0,204.0,1194.0,22.0,34.0,0.0,40.0,0.0,1120.0,22.0
VA,Virginia ,2015,7001.0,4190.0,2811.0,129.0,187.0,2495.0,3434.0,756.0,2756.0,55.0,127.0,2.0,186.0,1.0,2443.0,52.0
VT,Vermont ,2015,1523.0,910.0,613.0,34.0,35.0,544.0,775.0,135.0,598.0,15.0,34.0,0.0,35.0,0.0,529.0,15.0
WA,Washington ,2015,19419.0,12526.0,6893.0,310.0,351.0,6232.0,6200.0,6326.0,6098.0,795.0,296.0,14.0,342.0,9.0,5460.0,772.0
WI,Wisconsin ,2015,6057.0,2992.0,3065.0,195.0,284.0,2586.0,2647.0,345.0,2968.0,97.0,184.0,11.0,270.0,14.0,2514.0,72.0
WV,West Virginia ,2015,1835.0,1414.0,421.0,23.0,29.0,369.0,1049.0,365.0,354.0,67.0,16.0,7.0,21.0,8.0,317.0,52.0
WY,Wyoming ,2015,798.0,500.0,298.0,12.0,20.0,266.0,292.0,208.0,215.0,83.0,11.0,1.0,19.0,1.0,185.0,81.0
